Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
Australia,2013,3483.92,1106.07,32.09,27.5,1.74,18.23,6.94,17.19,Oceania
India,2019,7771.03,5422.78,25.21,29.3,3.35,17.21,12.42,9.9,Asia
Russia,2004,6991.3,3972.36,40.85,22.94,15.48,15.28,7.1,9.59,Europe
South Africa,2011,6628.04,6755.75,30.38,15.69,8.03,6.66,11.76,11.04,Africa
Brazil,2015,2434.27,2656.36,49.27,12.44,25.06,9.34,3.63,15.09,South America
Australia,2015,1781.66,4575.3,39.23,6.16,0.44,9.65,12.05,15.23,Oceania
China,2020,5514.82,6551.39,44.67,15.64,11.37,8.75,5.08,9.73,Asia
Japan,2006,7470.32,1076.56,23.98,27.86,10.12,12.73,10.81,7.0,Asia
Australia,2003,4675.72,6585.71,45.86,37.84,0.58,13.03,9.36,14.49,Oceania
Russia,2000,4787.1,4940.05,47.68,35.49,3.73,10.35,14.08,6.92,Europe
Russia,2004,2599.84,847.72,34.61,31.81,12.41,10.31,7.04,13.68,Europe
South Africa,2022,6271.2,2386.36,38.19,32.6,14.79,17.43,2.86,15.4,Africa
Brazil,2009,1902.83,5073.94,42.94,28.27,12.13,16.84,2.25,15.51,South America
India,2021,2927.59,844.51,25.25,14.11,15.93,9.62,12.75,16.3,Asia
South Africa,2004,3690.77,4242.33,35.08,36.75,17.85,18.71,8.82,18.09,Africa
South Africa,2003,4307.08,2682.83,31.96,28.48,0.3,19.29,12.08,12.5,Africa
Japan,2001,2318.07,4498.04,24.39,24.62,13.92,9.9,5.05,15.95,Asia
Canada,2019,1361.28,701.9,31.03,8.88,28.9,10.32,6.49,14.29,North America
Brazil,2009,5079.65,6152.14,22.05,20.65,15.57,12.58,2.39,7.8,South America
Germany,2018,2664.73,6825.03,20.77,21.11,20.33,19.12,14.5,5.39,Europe
South Africa,2000,4859.29,6794.59,24.05,35.26,9.36,18.14,10.68,9.27,Africa
Mexico,2023,1657.72,5347.7,48.89,24.13,23.22,6.54,14.13,11.65,North America
Canada,2004,4108.55,1258.57,36.49,18.31,23.19,10.89,5.45,14.26,North America
Germany,2012,4494.42,5404.54,48.97,39.19,15.64,13.3,9.95,17.75,Europe
Mexico,2003,888.68,562.27,32.97,8.88,29.28,12.55,10.82,7.94,North America
Brazil,2015,3024.53,546.02,29.35,19.79,3.77,7.91,6.13,6.88,South America
United States,2023,1508.11,2535.83,35.18,6.47,0.51,17.88,13.03,19.45,North America
Mexico,2015,975.31,3625.05,33.19,30.9,23.1,15.15,14.31,6.62,North America
China,2022,7924.7,5484.69,23.17,37.13,24.21,17.57,13.5,12.18,Asia
Canada,2001,2917.65,4909.75,39.22,14.8,3.61,17.88,11.61,13.78,North America
Mexico,2016,6574.06,3342.96,26.48,35.04,7.97,16.23,5.61,13.12,North America
France,2019,2409.8,2205.94,38.59,15.23,0.53,11.59,5.66,6.29,Europe
United States,2023,5611.27,6981.02,39.51,36.88,8.8,14.16,14.52,5.86,North America
Russia,2011,6201.71,3212.8,24.56,31.39,23.19,7.41,2.13,6.58,Europe
Russia,2017,4967.29,3379.15,21.84,33.17,15.54,15.1,11.31,13.78,Europe
China,2002,4036.82,1479.92,43.42,5.63,10.44,7.69,11.18,13.17,Asia
Mexico,2000,3588.81,5645.74,33.79,38.7,11.15,15.41,10.09,8.51,North America
Mexico,2000,3116.51,4978.3,21.74,30.43,0.04,8.44,14.87,14.57,North America
Japan,2018,7471.47,1857.08,49.85,15.67,8.99,6.76,6.05,17.3,Asia
Mexico,2010,6729.65,943.71,21.73,34.03,19.39,7.48,6.42,5.62,North America
Australia,2004,7737.7,4891.3,40.85,14.85,29.23,5.03,3.03,12.47,Oceania
India,2011,1432.23,4719.77,49.51,35.55,25.41,15.78,7.76,15.34,Asia
France,2002,5981.51,2203.51,27.18,8.94,0.71,15.99,5.39,8.78,Europe
Japan,2000,7537.55,6675.7,24.27,29.63,26.96,12.72,6.46,9.62,Asia
Brazil,2000,1859.25,1396.98,23.64,23.92,23.5,7.42,12.85,14.2,South America
Japan,2007,998.72,3253.41,29.1,8.38,23.41,6.25,14.16,18.47,Asia
Australia,2009,6058.4,6627.87,23.03,13.47,13.74,5.29,4.41,17.15,Oceania
Brazil,2010,4808.55,3170.2,40.76,5.43,11.94,7.49,6.84,13.75,South America
France,2011,6813.72,4614.27,21.87,21.41,9.09,18.36,14.07,15.95,Europe
Australia,2012,1548.29,3024.12,35.28,15.54,1.97,8.62,2.8,10.47,Oceania
Germany,2011,6464.5,2209.82,49.9,25.94,6.85,10.31,3.2,14.61,Europe
India,2013,2012.2,6894.25,44.42,15.4,7.4,6.58,4.12,11.99,Asia
France,2001,1727.42,3101.6,38.46,15.5,14.52,8.34,9.74,7.85,Europe
Mexico,2018,1731.99,6301.05,29.19,31.01,22.42,12.79,3.96,15.53,North America
Germany,2017,6609.31,1917.7,38.72,6.68,14.21,14.12,14.58,13.35,Europe
China,2002,5488.98,1806.49,35.81,36.6,1.74,8.68,7.81,10.38,Asia
France,2022,4422.99,605.48,32.78,34.83,28.73,5.87,8.52,18.67,Europe
China,2016,3191.23,4701.0,23.92,28.37,28.28,10.87,5.21,5.31,Asia
Brazil,2007,7079.0,2832.27,46.6,25.76,23.56,8.51,8.12,9.74,South America
Germany,2009,3443.34,6104.76,33.49,36.23,29.74,8.29,10.6,5.85,Europe
India,2001,6624.5,3523.19,25.84,11.49,16.33,19.4,11.77,16.5,Asia
Mexico,2018,3793.51,6790.08,31.03,7.76,28.88,14.24,11.8,15.53,North America
Mexico,2008,3327.08,1624.47,32.42,13.38,2.27,13.35,9.51,9.97,North America
Australia,2006,3970.1,6132.91,44.83,32.81,10.97,11.24,13.76,15.13,Oceania
Mexico,2003,2760.33,5525.54,42.01,6.21,6.76,11.43,12.63,10.94,North America
South Africa,2020,6107.07,5488.08,43.08,25.4,5.87,13.11,11.84,16.34,Africa
Japan,2017,4270.4,5975.57,20.33,39.84,4.22,15.45,2.72,11.81,Asia
United States,2012,2241.6,5422.76,32.48,34.95,18.67,15.53,2.09,11.18,North America
India,2010,7246.81,4533.05,34.44,23.25,23.44,7.58,4.76,19.02,Asia
Germany,2023,3379.18,1266.22,20.58,7.23,17.35,12.5,10.63,8.76,Europe
South Africa,2003,4576.65,614.67,27.79,34.1,4.41,11.18,7.35,6.81,Africa
India,2020,7298.54,6477.6,42.81,25.96,24.33,18.06,7.23,13.77,Asia
Germany,2003,5181.78,4469.89,24.11,9.02,19.08,14.47,13.5,19.54,Europe
Canada,2009,1376.74,5657.15,36.06,8.29,11.64,12.99,13.64,10.67,North America
Canada,2004,7548.74,3578.05,26.46,36.84,20.22,6.73,13.82,5.93,North America
China,2008,5207.81,1174.23,20.36,28.42,7.8,14.08,6.08,10.09,Asia
India,2023,3011.79,1226.23,27.24,34.03,10.36,6.76,10.98,12.59,Asia
Canada,2002,1544.54,4924.73,49.28,35.76,27.52,10.06,5.53,7.43,North America
Germany,2016,6455.19,3240.02,44.05,25.01,8.72,7.14,4.48,14.87,Europe
China,2002,5150.55,1723.46,48.79,23.11,14.1,15.38,4.4,19.97,Asia
Mexico,2015,4500.96,3644.52,34.64,20.06,26.7,8.09,6.45,11.78,North America
Germany,2003,7204.19,823.78,23.29,16.09,21.23,10.88,7.59,10.32,Europe
China,2017,6414.48,4241.01,36.44,20.21,1.87,18.44,12.8,11.01,Asia
India,2016,1637.56,2175.36,33.63,32.09,4.42,8.06,3.56,6.73,Asia
South Africa,2006,2837.92,5663.89,45.33,26.07,0.24,12.62,11.55,18.25,Africa
Australia,2023,2363.67,2448.39,22.94,36.24,18.93,11.29,8.91,11.22,Oceania
Mexico,2022,6079.6,3404.45,34.65,20.52,13.43,5.27,5.74,10.81,North America
France,2004,751.49,476.7,24.5,26.25,4.03,16.89,8.41,14.9,Europe
South Africa,2011,4774.17,878.15,29.74,27.1,28.74,6.04,5.9,11.63,Africa
Brazil,2016,6218.44,2990.46,42.12,25.71,15.89,12.11,9.75,14.72,South America
Germany,2022,7075.74,3567.6,34.28,29.59,7.26,13.41,7.64,5.92,Europe
Brazil,2012,3065.61,4360.14,31.28,13.31,15.02,14.43,4.14,17.21,South America
South Africa,2022,6659.43,2324.97,31.83,22.93,20.39,15.33,3.52,19.11,Africa
China,2002,1329.74,4986.88,33.78,8.65,2.29,8.8,9.11,14.73,Asia
France,2008,6848.39,6076.81,43.55,18.46,8.24,5.15,13.73,19.32,Europe
Mexico,2016,1456.16,5547.02,46.76,22.07,24.21,15.85,6.47,7.27,North America
Mexico,2016,3479.65,661.48,48.66,27.83,13.79,13.03,11.53,12.16,North America
Mexico,2019,6479.72,3571.35,43.61,38.27,16.4,17.54,10.56,14.03,North America
France,2015,1624.38,1092.54,29.46,26.02,12.98,17.32,14.11,13.73,Europe
United States,2021,2219.39,1997.5,40.64,31.03,1.32,17.65,12.67,11.02,North America
France,2012,5916.89,6911.97,33.13,22.72,4.97,12.28,9.37,10.07,Europe
Australia,2018,5900.27,1340.47,27.64,27.19,13.37,10.0,10.54,6.9,Oceania
France,2016,5308.61,3692.66,45.23,7.48,6.28,16.87,13.68,10.88,Europe
South Africa,2003,5704.61,4479.83,21.15,13.9,1.5,11.77,7.19,7.44,Africa
United States,2011,4570.43,5036.27,47.05,17.66,25.31,7.75,6.25,16.02,North America
Mexico,2008,2388.49,4093.68,33.84,21.54,29.44,17.82,2.14,8.13,North America
South Africa,2018,3092.72,464.49,39.12,6.6,23.79,18.24,12.75,5.88,Africa
South Africa,2011,1861.98,2554.64,39.78,9.9,25.61,11.99,12.41,13.29,Africa
Russia,2008,7313.38,3816.9,46.85,14.69,7.26,6.14,3.36,13.93,Europe
Japan,2006,4875.44,979.92,39.1,39.0,28.82,10.82,9.5,18.08,Asia
United States,2013,3506.39,2714.14,38.42,16.6,5.91,17.05,8.03,13.65,North America
South Africa,2019,3965.04,619.14,22.0,21.87,28.54,18.53,3.54,10.18,Africa
Japan,2018,7604.63,918.62,35.55,11.86,29.84,8.05,14.75,17.05,Asia
Japan,2014,1650.14,3019.69,24.51,26.38,21.35,6.0,4.79,13.1,Asia
United States,2015,4896.72,1275.92,42.12,14.82,29.43,18.16,2.87,6.19,North America
Russia,2020,4294.17,4145.77,35.37,12.24,17.09,10.84,9.73,13.49,Europe
Brazil,2004,5085.91,4950.47,40.41,23.08,7.79,13.13,11.61,18.62,South America
China,2002,635.83,5683.87,21.25,5.19,13.11,19.52,2.42,10.94,Asia
Australia,2011,7040.93,1720.99,22.54,5.27,17.81,6.0,10.56,9.44,Oceania
China,2019,7490.89,1505.39,41.49,12.67,2.19,14.72,8.92,7.15,Asia
France,2020,4738.5,1090.15,22.16,6.29,18.67,6.11,3.34,7.27,Europe
Mexico,2003,5724.88,4600.44,22.14,8.78,29.44,10.63,4.24,11.49,North America
Australia,2020,7418.75,5062.74,20.36,16.86,5.7,17.06,9.38,13.94,Oceania
France,2022,5804.29,608.47,48.7,33.09,23.78,11.5,5.85,6.21,Europe
South Africa,2015,1644.04,6579.0,42.13,25.02,27.24,19.96,14.2,19.09,Africa
Mexico,2006,4822.16,743.01,30.6,22.94,28.31,13.39,12.64,16.33,North America
Germany,2012,5050.36,3972.56,28.9,15.27,28.8,9.82,14.79,13.8,Europe
United States,2020,3680.98,5079.8,30.49,37.61,15.64,8.3,5.38,17.43,North America
Australia,2009,6023.33,6148.4,43.24,18.9,29.32,10.26,14.61,6.2,Oceania
Australia,2006,7507.75,5112.97,39.84,8.05,22.72,10.59,7.61,12.15,Oceania
South Africa,2013,7441.76,5691.41,25.56,26.6,4.85,6.03,6.52,14.45,Africa
Brazil,2004,3881.3,2640.37,25.22,8.98,14.31,10.54,2.65,17.43,South America
Japan,2002,1349.29,5777.85,22.95,17.08,21.55,11.96,2.69,16.75,Asia
Mexico,2022,7886.31,928.76,39.81,22.76,7.42,15.84,11.0,9.16,North America
South Africa,2010,6791.74,6305.79,42.93,35.6,19.22,14.85,7.95,19.11,Africa
Canada,2010,1434.97,4014.11,27.95,22.27,20.0,15.63,4.94,6.87,North America
Russia,2017,7406.31,5794.17,20.63,29.58,4.88,5.13,9.98,18.13,Europe
Japan,2014,7024.22,3385.3,22.47,39.75,16.95,8.27,5.29,19.56,Asia
United States,2011,4391.29,4647.61,49.04,9.6,23.15,14.93,9.51,7.66,North America
Japan,2008,4934.57,3874.26,28.86,14.62,14.97,12.26,6.67,15.83,Asia
Brazil,2009,3492.52,5228.49,43.08,18.81,0.36,5.08,12.71,5.6,South America
Japan,2011,910.71,938.76,38.74,19.76,0.27,17.07,12.67,11.08,Asia
United States,2016,3013.98,798.32,31.46,19.39,10.71,16.59,8.21,12.74,North America
Brazil,2005,6521.4,2030.88,26.17,36.77,27.79,13.23,6.56,13.71,South America
China,2006,534.74,1452.99,23.64,29.99,6.86,6.0,6.71,19.04,Asia
Australia,2013,3001.24,6153.77,38.45,26.28,19.03,16.5,12.47,15.08,Oceania
Australia,2012,3486.27,1846.81,43.24,15.83,6.66,13.76,6.27,12.22,Oceania
Russia,2007,4530.47,6840.71,39.32,33.83,9.65,16.73,4.72,17.15,Europe
France,2009,7398.92,2623.51,35.91,38.43,25.44,16.28,3.1,19.26,Europe
China,2008,3097.59,1601.98,21.26,33.74,21.87,17.05,8.07,5.33,Asia
China,2017,3102.15,5612.01,49.05,5.05,2.86,12.77,8.27,19.74,Asia
Mexico,2001,6031.26,4747.47,43.96,27.27,12.86,7.1,12.93,6.29,North America
Japan,2004,3891.63,3688.09,28.78,6.79,0.88,15.07,4.88,17.22,Asia
Australia,2004,2184.54,4065.4,49.4,14.02,14.43,14.31,6.95,9.21,Oceania
United States,2005,3893.3,5146.73,38.06,7.08,19.87,16.13,12.51,6.98,North America
India,2018,1556.43,1907.8,37.47,26.13,3.56,7.55,12.71,11.6,Asia
India,2007,1822.9,6975.8,42.44,29.03,8.67,7.92,7.0,14.66,Asia
Brazil,2015,4237.76,6833.63,44.35,9.01,11.94,18.36,7.97,10.71,South America
Australia,2012,3641.94,4692.15,39.69,18.43,27.59,16.25,5.94,5.82,Oceania
Australia,2000,7361.34,1716.98,23.84,20.97,29.8,18.62,14.12,13.99,Oceania
Russia,2021,3217.95,4889.51,30.15,17.92,1.35,16.38,3.54,18.54,Europe
India,2019,4854.41,876.51,47.84,9.24,22.83,13.96,14.14,10.75,Asia
Australia,2016,5241.98,602.31,26.74,19.66,11.15,14.81,10.89,8.24,Oceania
Russia,2006,598.21,2100.71,31.17,31.29,11.77,18.34,8.91,11.64,Europe
Japan,2012,5476.53,3453.31,32.96,7.49,22.63,13.68,2.42,5.73,Asia
Canada,2003,1835.27,6130.6,33.18,7.81,27.55,14.49,8.18,17.31,North America
Mexico,2003,7708.03,5199.32,38.39,17.42,28.53,7.35,7.3,17.4,North America
Germany,2005,1614.97,5301.86,48.29,37.96,17.31,12.11,4.1,13.82,Europe
China,2018,3609.68,3208.26,27.22,28.4,10.71,15.75,10.53,10.3,Asia
France,2011,1140.12,2683.17,23.65,28.75,23.63,9.06,14.62,17.0,Europe
Brazil,2021,7976.56,2848.86,25.92,17.67,7.53,8.03,9.31,13.32,South America
Canada,2006,4266.46,6918.49,46.61,25.78,16.92,9.71,11.29,17.39,North America
Mexico,2009,4965.39,664.72,39.37,5.35,10.76,8.62,2.89,14.47,North America
Mexico,2018,1003.07,6122.41,28.58,27.26,19.7,8.22,7.43,16.77,North America
Mexico,2006,6124.7,4219.26,44.48,36.97,7.21,11.37,3.51,13.98,North America
Mexico,2002,2074.29,3294.86,45.84,26.44,5.75,18.62,9.97,11.21,North America
India,2012,7235.41,5186.7,45.4,35.58,27.55,12.61,14.2,19.37,Asia
Russia,2012,2038.55,3612.02,47.57,30.34,3.05,7.82,10.6,13.12,Europe
China,2017,1930.16,6164.59,27.57,9.22,15.18,6.15,3.0,14.08,Asia
Australia,2019,774.12,6344.63,42.65,36.59,6.63,15.44,6.61,8.31,Oceania
Mexico,2007,4040.5,3183.36,33.82,7.33,1.17,10.74,9.16,14.38,North America
France,2008,4736.31,2227.06,45.26,23.69,1.08,17.33,7.24,13.57,Europe
Australia,2006,992.81,4309.51,41.85,9.97,5.26,14.89,12.84,7.77,Oceania
United States,2000,6316.46,6421.6,43.29,5.41,26.0,16.94,12.59,5.89,North America
United States,2002,3899.67,1790.37,39.68,19.77,8.47,9.08,9.95,14.07,North America
France,2012,4432.93,4511.58,25.32,15.33,28.51,15.39,6.85,16.46,Europe
Russia,2016,3805.72,4568.3,36.35,22.01,17.45,8.96,5.32,12.85,Europe
France,2023,3505.72,5238.55,49.54,25.2,13.1,19.09,3.38,8.4,Europe
India,2000,4697.3,1268.35,48.12,6.53,17.4,14.55,6.61,15.0,Asia
France,2005,1664.3,5124.44,21.3,9.31,15.5,9.87,7.37,6.2,Europe
Japan,2020,1864.46,6399.61,24.94,24.55,22.76,9.04,10.79,11.63,Asia
Australia,2005,6963.39,1585.91,23.95,17.01,8.47,7.86,10.56,7.45,Oceania
Canada,2011,7595.87,1967.79,41.78,30.52,10.59,15.42,2.91,7.77,North America
South Africa,2012,3299.82,6811.21,44.53,27.83,26.82,8.28,7.14,8.03,Africa
Russia,2012,2530.59,1594.45,26.41,34.6,28.39,13.93,4.36,10.8,Europe
France,2014,5330.0,6038.94,35.18,29.24,26.78,8.97,4.04,5.77,Europe
Brazil,2020,3565.51,3649.03,45.22,20.05,12.58,14.93,12.75,10.97,South America
United States,2015,690.4,2031.73,41.98,28.55,23.41,17.22,2.54,12.68,North America
Japan,2021,1671.14,6146.95,36.27,14.64,14.29,16.67,7.45,12.25,Asia
China,2020,5869.79,3339.01,37.71,15.72,14.93,16.41,4.19,10.74,Asia
Mexico,2010,5441.93,3797.79,35.25,32.61,6.14,7.82,13.43,17.59,North America
South Africa,2004,703.22,2770.94,28.93,20.62,17.73,6.33,9.24,7.18,Africa
Russia,2003,2164.79,4313.48,36.95,32.94,5.58,15.48,5.01,12.59,Europe
Canada,2002,2233.06,1479.26,40.67,33.78,9.95,10.53,8.53,5.93,North America
South Africa,2018,5539.2,2981.14,46.2,35.01,25.65,11.49,11.51,6.07,Africa
France,2019,647.83,6798.12,39.09,37.08,6.21,5.47,14.46,13.61,Europe
India,2017,1280.81,2103.68,42.83,20.08,2.13,8.89,4.87,13.49,Asia
United States,2014,6499.37,4734.46,24.8,16.16,2.07,5.51,13.52,18.17,North America
United States,2008,1839.08,2546.25,33.85,25.38,28.22,18.19,14.15,13.37,North America
China,2016,5395.6,5504.92,20.28,17.99,15.21,8.65,13.91,19.4,Asia
India,2013,2286.37,1263.77,27.4,26.04,12.28,13.36,10.26,5.73,Asia
Mexico,2014,1245.81,6800.82,41.79,29.7,24.33,5.58,10.19,6.47,North America
Australia,2000,2323.79,3395.01,49.75,29.09,25.07,15.0,7.24,5.66,Oceania
Germany,2020,5917.0,1957.93,22.98,18.11,9.97,9.85,11.78,7.78,Europe
Japan,2021,6917.72,885.08,32.04,10.84,20.81,18.47,8.91,13.12,Asia
United States,2021,6726.65,1520.4,44.0,20.07,23.13,18.32,10.81,14.68,North America
Brazil,2002,3478.88,3830.51,26.12,9.99,19.64,9.88,7.57,5.68,South America
United States,2015,5510.64,2624.22,36.65,36.15,4.55,18.51,11.51,19.19,North America
South Africa,2022,2037.38,5870.63,41.99,17.11,26.28,19.94,12.72,17.63,Africa
United States,2010,2698.61,3243.86,38.48,10.41,16.17,17.38,3.9,9.45,North America
Russia,2011,7222.52,2041.51,25.64,5.89,8.47,17.67,12.83,6.16,Europe
United States,2009,597.51,4473.16,30.66,27.6,12.76,8.74,9.02,7.55,North America
Germany,2015,1141.31,5064.73,43.51,27.29,1.13,13.65,12.98,6.9,Europe
Germany,2007,2059.15,1502.48,36.63,16.92,3.84,6.01,7.61,6.85,Europe
Mexico,2005,698.99,1506.29,20.16,7.51,22.97,6.42,6.93,12.78,North America
Canada,2011,1860.77,642.03,42.83,19.34,0.0,19.98,13.9,8.69,North America
Australia,2023,4872.81,5260.25,21.06,15.89,12.5,9.9,5.27,10.37,Oceania
Brazil,2020,3660.68,4781.11,42.37,28.7,15.68,16.22,12.97,19.84,South America
United States,2007,7195.04,3532.56,26.07,26.2,1.64,17.1,8.29,15.26,North America
United States,2003,6630.83,5971.52,48.74,17.76,29.19,17.87,8.68,19.23,North America
Japan,2007,3063.63,5717.42,31.04,12.63,6.78,19.96,6.01,7.14,Asia
Germany,2017,2445.68,4263.34,29.81,39.58,9.13,8.62,9.45,10.73,Europe
Brazil,2004,3347.69,6130.59,24.47,20.89,9.12,5.61,6.23,13.32,South America
Mexico,2008,4927.21,1758.55,29.17,29.09,6.91,11.17,2.51,6.15,North America
China,2003,2510.48,1138.67,46.3,9.92,0.04,6.95,5.54,5.06,Asia
Canada,2021,5181.12,2180.35,49.89,22.0,21.88,5.34,2.08,15.06,North America
Australia,2016,3570.59,776.77,31.05,5.96,29.01,10.41,14.72,14.63,Oceania
India,2008,4640.35,3905.72,33.46,22.69,6.73,16.76,14.55,11.16,Asia
Australia,2000,3770.95,6581.6,41.66,38.74,19.89,13.49,7.14,12.34,Oceania
Russia,2020,2708.49,659.67,46.59,18.45,22.26,9.69,11.47,11.23,Europe
South Africa,2019,7613.4,1205.93,37.79,6.36,25.45,14.82,6.5,5.36,Africa
Russia,2012,6227.04,3384.51,31.75,6.08,12.68,8.48,10.72,10.03,Europe
United States,2015,1550.85,6563.58,32.38,18.58,9.09,5.22,12.47,7.66,North America
Canada,2012,7013.51,2486.63,40.87,10.6,9.76,16.47,14.31,6.48,North America
South Africa,2013,4155.73,3747.75,20.1,5.82,21.38,14.36,7.2,19.35,Africa
Brazil,2002,7209.14,674.38,38.59,31.47,24.5,16.43,12.18,13.99,South America
India,2005,6498.91,1379.07,30.66,21.05,5.45,5.58,5.46,15.93,Asia
Germany,2017,3689.1,6911.76,43.83,15.12,11.13,17.56,14.87,9.73,Europe
